family_id,company,title,postings,countries,open_to_colombia,min_years,english_level,pay_usd_hour_max,pay_usd_year_max,first_published,last_published,url
e01bc30766bb,Invisible Technologies,Enterprise Solutions Manager - Data Labs,1,US,False,5,,,,2025-08-04,2025-08-04,https://job-boards.eu.greenhouse.io/invisibletech/jobs/4649449101
e65ed1b4296b,Invisible Technologies,Principal Backend Engineer (Forward Deployed),1,US,False,10,,,300000.0,2025-11-11,2025-11-11,https://job-boards.eu.greenhouse.io/invisibletech/jobs/4697596101
ce5816702098,Invisible Technologies,Research Engineer,1,US,False,,,,,2026-09-22,2026-09-22,https://job-boards.eu.greenhouse.io/invisibletech/jobs/4981967101
47a825dd8bc5,Invisible Technologies,Senior Data Product Owner,1,US,False,,,,212000.0,2026-09-17,2026-09-17,https://job-boards.eu.greenhouse.io/invisibletech/jobs/4979618101
1a40c8b7e850,Invisible Technologies,Senior DevOps Engineer,1,GB,False,,,,,2026-08-20,2026-08-20,https://job-boards.eu.greenhouse.io/invisibletech/jobs/4957524101
69106735550e,Invisible Technologies,Senior Enterprise Solutions Manager,1,US,False,8,,,,2026-08-18,2026-08-18,https://job-boards.eu.greenhouse.io/invisibletech/jobs/4948744101
1f0da2b18189,Invisible Technologies,Senior Enterprise Solutions Manager - Data Labs,1,US,False,5,,,,2026-03-17,2026-03-17,https://job-boards.eu.greenhouse.io/invisibletech/jobs/4812639101
62f469fc2db1,Invisible Technologies,Senior Software Engineer (Forward Deployed),2,GB|US,False,6,,,264000.0,2025-10-22,2026-09-23,https://job-boards.eu.greenhouse.io/invisibletech/jobs/4697590101
303cb254e31a,Invisible Technologies,Senior Technical Project Manager,1,US,False,4,,,208000.0,2026-09-17,2026-09-17,https://job-boards.eu.greenhouse.io/invisibletech/jobs/4979721101
497b14426848,Invisible Technologies,"Site Reliability Engineer (Contract, Rotation-Based)",1,IN|ZA,False,,,,,2026-09-02,2026-09-02,https://job-boards.eu.greenhouse.io/invisibletech/jobs/4966941101
ee57f8c54ce7,Invisible Technologies,Software Engineer (Forward Deployed),1,GB,False,,,,,2026-09-17,2026-09-17,https://job-boards.eu.greenhouse.io/invisibletech/jobs/4979550101
e3de2c06ce0e,Invisible Technologies,"Software Engineer, Agentic AI",1,BR,False,2,,,,2026-09-17,2026-09-17,https://job-boards.eu.greenhouse.io/invisibletech/jobs/4979734101
